#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1755241473453454080,-0.0607597,0.576772,-0.152936,0.010574,-0.763737,-0.292806,-0.575203,-0.101491,0.17996,0.0589277,0.0108664,-0.0365902,0.0199153,-0.0719665,-0.122405,0.381646
1755241473463453952,-0.0618614,0.578699,-0.15241,0.022015,-0.765648,-0.294267,-0.571581,-0.118559,0.204888,0.0471352,0.0108496,-0.0366005,0.0198991,-0.0720398,-0.122501,0.381592
1755241473473454080,-0.0631262,0.58085,-0.151968,0.0351991,-0.76754,-0.296016,-0.567466,-0.134111,0.224575,0.0421052,0.0108327,-0.0366102,0.0198833,-0.0721125,-0.122598,0.381539
1755241473483453952,-0.0645343,0.583171,-0.151553,0.048638,-0.769309,-0.297772,-0.563143,-0.147237,0.238877,0.0411242,0.0108152,-0.0366193,0.0198674,-0.0721847,-0.122696,0.38149
1755241473493454080,-0.0660704,0.585617,-0.15114,0.060104,-0.771081,-0.298616,-0.559151,-0.159955,0.250035,0.0414944,0.0107967,-0.0366285,0.0198511,-0.0722567,-0.122795,0.381444
1755241473503453952,-0.0677358,0.588159,-0.150722,0.0675577,-0.772851,-0.297979,-0.556189,-0.173141,0.257734,0.0421829,0.010777,-0.0366383,0.0198341,-0.0723286,-0.122896,0.381401
1755241473513454080,-0.069535,0.59075,-0.150296,0.0712911,-0.774729,-0.296202,-0.554055,-0.186678,0.259555,0.0430207,0.0107561,-0.0366487,0.0198162,-0.0724005,-0.122997,0.38136
1755241473523453952,-0.0714687,0.593327,-0.14986,0.0732453,-0.776796,-0.293684,-0.552243,-0.199835,0.255098,0.0441575,0.0107343,-0.0366598,0.0197973,-0.0724724,-0.1231,0.381323
1755241473533453824,-0.0735193,0.595825,-0.149416,0.075041,-0.778892,-0.29111,-0.55041,-0.209833,0.243508,0.0443658,0.0107124,-0.0366711,0.0197775,-0.0725443,-0.123204,0.381289
1755241473543453952,-0.0756535,0.59817,-0.148989,0.077124,-0.780955,-0.288874,-0.548374,-0.216578,0.224831,0.0405222,0.0106908,-0.0366824,0.0197572,-0.072616,-0.12331,0.381257
1755241473553453824,-0.0778381,0.600307,-0.148618,0.0794968,-0.782765,-0.287675,-0.546079,-0.219934,0.202243,0.0332341,0.0106695,-0.0366935,0.0197363,-0.0726874,-0.123417,0.381228
1755241473563453952,-0.0800431,0.602216,-0.148339,0.0819803,-0.784223,-0.287707,-0.543598,-0.220808,0.179974,0.0223222,0.0106485,-0.0367041,0.0197147,-0.0727582,-0.123527,0.381201
1755241473573453824,-0.0822489,0.60392,-0.148182,0.0844071,-0.785478,-0.288151,-0.541174,-0.220196,0.161246,0.00865639,0.0106276,-0.0367145,0.019693,-0.0728281,-0.123638,0.381175
1755241473583453952,-0.0844439,0.605457,-0.148172,0.0868895,-0.78664,-0.288622,-0.538837,-0.218709,0.146801,-0.00668256,0.0106069,-0.0367249,0.0196716,-0.0728967,-0.123752,0.381151
1755241473593453824,-0.0866216,0.606875,-0.148319,0.0894385,-0.787606,-0.289165,-0.536714,-0.216899,0.137362,-0.0229303,0.0105866,-0.0367356,0.0196512,-0.0729639,-0.123868,0.381127
1755241473603453952,-0.0887888,0.608221,-0.148631,0.0919762,-0.788034,-0.289572,-0.535436,-0.216731,0.132133,-0.0393639,0.0105669,-0.0367464,0.0196319,-0.0730297,-0.123987,0.381104
1755241473613453824,-0.0909611,0.60952,-0.149103,0.0947688,-0.788072,-0.289795,-0.534771,-0.217842,0.127558,-0.0546239,0.010548,-0.036757,0.0196136,-0.0730938,-0.124109,0.38108
1755241473623453952,-0.0931488,0.610765,-0.149712,0.0980198,-0.787875,-0.289957,-0.534388,-0.21982,0.121199,-0.0667636,0.01053,-0.0367671,0.0195962,-0.0731563,-0.124232,0.381056
1755241473633453824,-0.0953617,0.611938,-0.150421,0.101849,-0.787579,-0.290124,-0.534018,-0.222898,0.112878,-0.0745024,0.0105127,-0.0367772,0.019579,-0.073217,-0.124359,0.381031
